Country,Year,Manufacturer,EV_Sales_(USD),Charging_Stations,EV_Market_Share(%),Total_Vehicles_Sold,EV_Type,GDP_per_Capita,Govt_Incentives
Germany,2023,Nissan,"$25,850 ",4326.0,6.82,58360.0,BEV,29000.0,yes
UK,2017,Nissan,"$43,583 ",4599.0,14.88,85493.0,HEV,40028.0,Yes
Norway,2023,Hyundai,"$25,355 ",4851.0,27.16,53273.0,HEV,57313.0,No
Japan,2015,BMW,"$46,652 ",2899.0,26.24,49574.0,HEV,32976.0,yes
Netherlands,2018,Ford,"$12,491 ",4602.0,22.59,21599.0,PHEV,29715.0,no
China,2020,Ford,"$48,718 ",1861.0,12.39,81928.0,PHEV,38317.0,no
Norway,2021,Ford,"$33,862 ",516.0,5.64,108610.0,BEV,32971.0,no
Germany,2017,Ford,"$3,701 ",2471.0,18.03,83952.0,BEV,6681.0,no
UK,2017,Nissan,"$36,946 ",346.0,3.17,88007.0,HEV,58619.0,No
China,2018,Chevrolet,"$48,851 ",983.0,8.44,51259.0,PHEV,43903.0,YES
Canada,2016,Tesla,"$19,172 ",556.0,13.72,70744.0,HEV,59798.0,No
Germany,2022,Renault,"$36,645 ",2782.0,7.0,102708.0,BEV,8619.0,no
Netherlands,2020,Volkswagen,"$24,446 ",4004.0,11.04,32699.0,HEV,33813.0,Yes
Canada,2023,Volkswagen,"$28,132 ",2067.0,15.5,47545.0,BEV,39485.0,Yes
Japan,2018,Tesla,"$5,504 ",4974.0,1.51,43674.0,HEV,44555.0,yes
USA,2024,BMW,"$36,865 ",4854.0,14.41,64538.0,BEV,64471.0,No
Canada,2023,BYD,"$43,762 ",4231.0,23.28,124159.0,HEV,78123.0,YES
Netherlands,2015,Chevrolet,"$14,015 ",226.0,25.12,84325.0,BEV,22801.0,No
France,2021,Kia,"$38,195 ",4287.0,20.44,43673.0,PHEV,41134.0,no
France,2018,Volkswagen,"$43,353 ",3285.0,8.18,65662.0,BEV,19688.0,no
India,2023,Renault,"$28,676 ",3353.0,19.56,118688.0,PHEV,10416.0,yes
Germany,2018,BYD,"$40,494 ",896.0,22.05,134796.0,PHEV,19830.0,YES
USA,2020,Renault,"$20,789 ",3348.0,24.79,43184.0,BEV,55182.0,Yes
USA,2015,Hyundai,"$17,238 ",2641.0,23.21,107320.0,HEV,36447.0,YES
Canada,2022,BMW,"$32,087 ",1242.0,27.27,123591.0,PHEV,44923.0,No
USA,2024,Renault,"$24,160 ",2405.0,3.77,122544.0,BEV,16779.0,yes
India,2020,Hyundai,"$5,992 ",4905.0,1.03,100168.0,BEV,73328.0,No
Germany,2018,Kia,"$27,424 ",3561.0,1.43,113972.0,PHEV,5096.0,YES
France,2023,Tesla,"$1,519 ",1294.0,13.03,100474.0,BEV,78120.0,no
India,2021,Hyundai,"$33,175 ",731.0,8.3,117657.0,PHEV,1639.0,No
India,2015,Nissan,"$13,002 ",3797.0,1.64,30475.0,PHEV,35019.0,YES
France,2023,Kia,"$19,825 ",255.0,6.75,45045.0,HEV,61531.0,no
India,2015,Nissan,"$42,761 ",621.0,1.43,62001.0,PHEV,76752.0,no
UK,2017,Renault,"$39,497 ",329.0,24.52,75363.0,HEV,74401.0,No
India,2024,Kia,"$17,057 ",4029.0,24.88,21703.0,PHEV,56371.0,no
Norway,2021,Volkswagen,"$43,316 ",3162.0,3.46,119762.0,PHEV,2778.0,Yes
India,2019,Renault,"$46,252 ",3067.0,2.26,128092.0,HEV,28289.0,Yes
Canada,2018,Volkswagen,"$45,288 ",4757.0,17.64,141566.0,PHEV,8758.0,Yes
Japan,2023,BYD,"$23,937 ",3211.0,17.26,77013.0,BEV,57950.0,Yes
India,2024,BMW,"$17,849 ",4974.0,11.63,38304.0,HEV,79824.0,No
Germany,2023,Nissan,"$6,887 ",2531.0,21.1,96439.0,HEV,47116.0,no
Canada,2016,Nissan,"$40,984 ",3414.0,9.36,107626.0,BEV,47009.0,no
Netherlands,2019,BYD,"$38,069 ",224.0,2.69,135254.0,HEV,40015.0,Yes
India,2021,BYD,"$6,677 ",2382.0,7.3,96431.0,BEV,44148.0,yes
Japan,2018,Chevrolet,"$7,117 ",893.0,6.23,64996.0,HEV,66839.0,no
Japan,2022,Tesla,"$30,256 ",4501.0,3.44,42281.0,BEV,19715.0,yes
Canada,2015,Chevrolet,"$5,061 ",89.0,24.03,93177.0,BEV,76705.0,no
Canada,2021,Hyundai,"$17,616 ",3986.0,7.39,20740.0,HEV,39051.0,no
USA,2022,Tesla,"$19,176 ",4227.0,27.6,21173.0,BEV,60330.0,no
France,2017,Tesla,"$44,269 ",4674.0,1.01,123922.0,PHEV,12231.0,YES
Netherlands,2017,Kia,"$30,251 ",4896.0,27.34,116698.0,PHEV,56965.0,no
India,2019,Hyundai,"$16,108 ",2755.0,28.22,109801.0,PHEV,28387.0,YES
Japan,2024,BMW,"$4,590 ",379.0,9.83,36514.0,PHEV,11196.0,yes
USA,2017,Kia,"$26,779 ",3334.0,19.47,120797.0,BEV,49795.0,no
USA,2021,Nissan,"$3,699 ",1755.0,1.09,59737.0,PHEV,8897.0,no
UK,2024,Nissan,"$33,857 ",1370.0,6.77,49120.0,BEV,71935.0,yes
Canada,2018,Renault,"$30,311 ",2326.0,9.39,125853.0,BEV,42271.0,yes
Canada,2018,Chevrolet,"$41,835 ",733.0,10.24,135439.0,PHEV,2942.0,YES
Japan,2018,Renault,"$20,888 ",2354.0,7.79,75628.0,BEV,66873.0,Yes
UK,2023,Tesla,"$47,524 ",1875.0,16.95,68519.0,HEV,78681.0,No
Netherlands,2021,Chevrolet,"$12,477 ",68.0,28.75,63883.0,HEV,4688.0,No
France,2024,Renault,"$4,248 ",4140.0,12.3,41045.0,HEV,46950.0,No
France,2017,BYD,"$25,546 ",4045.0,17.81,36184.0,HEV,22173.0,yes
USA,2017,Hyundai,"$13,722 ",922.0,26.24,32817.0,BEV,2439.0,Yes
India,2022,Kia,"$38,881 ",3640.0,1.97,131119.0,PHEV,21600.0,No
Netherlands,2016,Tesla,"$2,966 ",2407.0,28.49,57242.0,BEV,51117.0,Yes
UK,2018,Renault,"$47,471 ",929.0,21.54,92303.0,PHEV,10404.0,yes
France,2023,Ford,"$34,139 ",4400.0,11.84,62823.0,PHEV,69591.0,yes
UK,2018,Volkswagen,"$17,497 ",1882.0,11.69,81540.0,PHEV,73725.0,No
Canada,2022,BMW,"$46,020 ",3383.0,10.65,68790.0,HEV,48498.0,YES
Japan,2023,Ford,"$33,288 ",403.0,6.13,105591.0,HEV,29390.0,yes
USA,2019,Hyundai,"$30,083 ",370.0,9.09,46134.0,PHEV,5314.0,yes
France,2023,Renault,"$29,170 ",2463.0,8.84,40406.0,HEV,36568.0,YES
Canada,2023,Nissan,"$46,150 ",2164.0,10.02,61185.0,PHEV,17108.0,yes
Germany,2019,Nissan,"$7,329 ",355.0,19.07,98995.0,PHEV,74927.0,Yes
UK,2015,BMW,$806 ,3085.0,26.89,74586.0,HEV,7611.0,YES
Canada,2024,Nissan,"$12,073 ",4060.0,10.18,55913.0,BEV,49785.0,Yes
Norway,2020,Tesla,"$21,162 ",1854.0,18.65,29548.0,BEV,7862.0,Yes
China,2024,BMW,"$3,542 ",824.0,24.73,81770.0,HEV,16225.0,yes
China,2024,BYD,"$17,193 ",2071.0,10.77,45571.0,HEV,12937.0,no
Japan,2016,Renault,"$1,294 ",4024.0,29.38,29326.0,BEV,18358.0,No
Canada,2020,Tesla,"$30,290 ",4247.0,13.07,44479.0,PHEV,77749.0,No
France,2019,Ford,"$7,748 ",4379.0,2.83,37353.0,PHEV,50616.0,yes
france,2022,BYD,"$38,683 ",297.0,11.79,47133.0,PHEV,3925.0,YES
France,2024,Ford,"$42,811 ",3990.0,12.83,94688.0,BEV,37181.0,no
USA,2021,Volkswagen,"$33,762 ",957.0,16.71,114284.0,BEV,33322.0,YES
Canada,2015,BMW,"$36,580 ",4873.0,18.77,48747.0,PHEV,43407.0,YES
Norway,2023,Tesla,"$3,954 ",2808.0,24.81,88091.0,PHEV,51637.0,YES
Norway,2022,Renault,"$10,547 ",4827.0,7.74,70339.0,PHEV,14686.0,no
Netherlands,2020,Nissan,"$41,303 ",1517.0,15.11,57079.0,BEV,58427.0,no
UK,2023,Hyundai,"$39,851 ",3752.0,17.05,104159.0,HEV,16797.0,no
UK,2021,Volkswagen,"$37,499 ",918.0,19.12,51376.0,HEV,15239.0,yes
Canada,2024,Kia,"$21,935 ",2747.0,16.06,71343.0,PHEV,11534.0,no
Germany,2016,Hyundai,"$35,074 ",2110.0,9.13,122141.0,PHEV,11967.0,No
Norway,2021,Tesla,"$16,955 ",37.0,13.09,108830.0,BEV,40823.0,Yes
USA,2020,Volkswagen,"$10,116 ",2258.0,25.18,24223.0,BEV,62404.0,No
Norway,2021,Tesla,"$29,146 ",1685.0,12.94,70871.0,PHEV,46434.0,No
USA,2024,BYD,"$20,715 ",1928.0,20.56,38177.0,BEV,55081.0,Yes
China,2019,Tesla,"$1,531 ",2082.0,16.05,57771.0,HEV,18868.0,No
Japan,2024,Chevrolet,"$10,937 ",1560.0,23.12,66586.0,BEV,11223.0,YES
Japan,2024,Ford,"$48,666 ",4469.0,8.26,62327.0,HEV,16591.0,YES
Germany,2021,Hyundai,"$6,682 ",2104.0,26.37,27098.0,PHEV,14672.0,yes
India,2020,Volkswagen,"$18,432 ",377.0,16.08,89817.0,PHEV,6639.0,no
India,2019,Volkswagen,"$11,555 ",1886.0,27.95,95071.0,BEV,65666.0,YES
norway,2015,Nissan,"$11,366 ",3899.0,16.12,60592.0,PHEV,32335.0,No
UK,2022,Kia,"$26,662 ",121.0,5.63,84150.0,PHEV,3631.0,yes
Norway,2024,Nissan,"$37,616 ",2014.0,15.65,86280.0,BEV,29069.0,Yes
Netherlands,2021,BMW,"$16,945 ",1504.0,21.31,73365.0,PHEV,44168.0,YES
China,2020,Nissan,"$24,586 ",115.0,22.03,46057.0,BEV,61167.0,no
China,2015,Tesla,"$37,193 ",1918.0,16.82,52761.0,HEV,10466.0,yes
Norway,2023,Kia,"$26,021 ",3914.0,8.59,102976.0,HEV,53948.0,no
Germany,2016,Hyundai,"$17,176 ",4689.0,25.95,40826.0,HEV,78701.0,No
India,2024,Tesla,"$11,183 ",2485.0,23.42,15912.0,BEV,32351.0,YES
USA,2019,Renault,"$47,668 ",437.0,8.94,55623.0,BEV,66642.0,YES
Norway,2021,Tesla,"$22,162 ",1235.0,23.83,38534.0,BEV,18279.0,YES
Germany,2023,Volkswagen,"$45,365 ",1630.0,8.33,138769.0,BEV,39187.0,YES
China,2017,Nissan,"$44,346 ",4121.0,20.4,99938.0,PHEV,48458.0,YES
China,2023,BMW,"$36,575 ",712.0,27.72,96416.0,PHEV,1395.0,No
Japan,2015,BMW,"$11,345 ",3301.0,18.74,58251.0,HEV,60332.0,Yes
Norway,2024,Hyundai,"$37,805 ",1678.0,15.41,121776.0,PHEV,52993.0,yes
Japan,2024,Nissan,"$39,886 ",4733.0,2.41,126390.0,BEV,9539.0,no
Japan,2019,Ford,"$49,607 ",3158.0,29.75,106739.0,BEV,53979.0,YES
France,2024,BYD,"$11,385 ",1032.0,20.64,86677.0,PHEV,47326.0,yes
India,2022,Ford,"$17,103 ",415.0,8.28,102341.0,BEV,43719.0,yes
Canada,2015,Kia,"$26,750 ",801.0,9.1,45443.0,PHEV,38697.0,Yes
USA,2017,Nissan,"$29,488 ",1340.0,7.83,42609.0,PHEV,15219.0,no
Germany,2019,Hyundai,"$2,117 ",2066.0,27.47,75357.0,HEV,56735.0,no
Japan,2022,Tesla,"$18,459 ",3956.0,13.39,46026.0,BEV,61523.0,no
UK,2015,Ford,"$23,060 ",1056.0,13.26,60720.0,PHEV,46104.0,YES
Canada,2020,Ford,"$40,001 ",4441.0,1.83,132258.0,PHEV,4515.0,YES
Norway,2024,Kia,"$4,034 ",765.0,26.3,55013.0,PHEV,26465.0,YES
China,2020,Hyundai,"$31,093 ",4956.0,5.83,122059.0,HEV,73717.0,Yes
France,2024,BMW,"$15,505 ",1319.0,4.67,23254.0,PHEV,34064.0,Yes
USA,2020,Nissan,"$10,321 ",578.0,21.44,89976.0,HEV,8664.0,YES
UK,2019,Chevrolet,"$29,781 ",4121.0,15.15,55428.0,BEV,70918.0,Yes
China,2020,Tesla,"$16,949 ",889.0,17.77,107091.0,HEV,28603.0,yes
Germany,2021,Hyundai,"$46,958 ",3249.0,14.64,55662.0,HEV,28460.0,yes
UK,2019,Kia,"$18,009 ",895.0,11.93,25574.0,PHEV,5870.0,No
Japan,2019,BYD,"$19,409 ",935.0,26.74,114335.0,PHEV,45322.0,Yes
Germany,2022,Kia,"$36,500 ",3754.0,10.58,106501.0,BEV,1440.0,yes
Canada,2016,Volkswagen,"$13,557 ",3081.0,20.09,38322.0,HEV,47612.0,Yes
India,2020,Ford,"$33,282 ",2425.0,4.78,116030.0,HEV,10428.0,No
Norway,2016,Tesla,"$38,789 ",3230.0,16.82,124342.0,PHEV,4890.0,yes
Canada,2018,Tesla,"$29,340 ",2818.0,19.78,96027.0,BEV,25288.0,yes
Canada,2017,Tesla,"$46,781 ",3902.0,23.65,95617.0,PHEV,5595.0,Yes
Canada,2019,Renault,"$30,894 ",2928.0,4.0,124570.0,BEV,43723.0,No
Netherlands,2021,Ford,"$40,747 ",1895.0,21.77,48813.0,PHEV,11712.0,yes
India,2021,BMW,"$12,710 ",4214.0,26.54,58007.0,BEV,16945.0,yes
France,2020,Hyundai,"$30,165 ",1527.0,8.3,116569.0,HEV,78413.0,no
Japan,2022,Renault,"$13,724 ",3062.0,16.2,110928.0,PHEV,18316.0,No
India,2023,BMW,"$22,262 ",1144.0,6.19,99901.0,HEV,16174.0,Yes
Netherlands,2020,Kia,"$41,990 ",3031.0,17.59,114844.0,HEV,34069.0,Yes
UK,2020,Nissan,"$38,697 ",3455.0,2.45,65067.0,BEV,36247.0,Yes
USA,2015,Hyundai,"$10,886 ",2538.0,21.15,77066.0,PHEV,35474.0,yes
UK,2017,BYD,"$25,144 ",1914.0,25.61,73433.0,PHEV,12143.0,no
USA,2019,Nissan,"$12,061 ",4605.0,24.1,65940.0,BEV,11596.0,No
UK,2015,Chevrolet,"$30,701 ",2313.0,22.67,67690.0,HEV,31183.0,Yes
Norway,2023,Nissan,"$21,258 ",1092.0,23.9,68149.0,HEV,46810.0,yes
Canada,2017,BYD,"$6,972 ",2785.0,21.86,25946.0,HEV,23388.0,Yes
China,2017,BMW,"$40,864 ",4952.0,19.76,109000.0,BEV,6700.0,no
India,2022,Chevrolet,"$39,339 ",2066.0,16.78,125230.0,BEV,18177.0,No
Norway,2023,BYD,"$19,983 ",2865.0,18.37,21009.0,HEV,61611.0,No
China,2019,BMW,"$22,206 ",94.0,12.97,65288.0,PHEV,17258.0,Yes
Netherlands,2021,BMW,"$26,824 ",3119.0,22.7,49621.0,HEV,72310.0,Yes
Germany,2024,Volkswagen,"$32,133 ",189.0,9.77,127058.0,BEV,63907.0,YES
USA,2018,Renault,"$7,688 ",2034.0,3.62,15272.0,BEV,28044.0,Yes
Japan,2021,BMW,"$14,066 ",926.0,26.1,105516.0,HEV,51668.0,no
India,2021,Hyundai,"$44,330 ",3592.0,16.76,67663.0,BEV,16958.0,YES
Netherlands,2023,Renault,"$5,767 ",3505.0,28.79,42792.0,PHEV,78605.0,Yes
France,2023,BYD,"$1,481 ",2486.0,29.92,28068.0,BEV,78192.0,no
Germany,2024,BYD,"$27,826 ",2136.0,12.36,81839.0,HEV,10665.0,YES
Netherlands,2024,Tesla,"$27,597 ",1175.0,14.34,53782.0,PHEV,76911.0,Yes
China,2015,Ford,"$36,129 ",4660.0,29.32,94518.0,BEV,26835.0,yes
Canada,2015,Kia,"$22,048 ",2350.0,10.33,65496.0,BEV,31580.0,Yes
Netherlands,2015,Hyundai,"$4,049 ",2319.0,17.33,53377.0,PHEV,78701.0,no
France,2017,Nissan,"$24,064 ",2500.0,10.71,45829.0,PHEV,45787.0,Yes
China,2023,Nissan,"$41,957 ",3986.0,20.18,48409.0,BEV,39862.0,yes
USA,2020,BYD,"$39,681 ",1446.0,26.83,123971.0,BEV,35404.0,no
Germany,2020,Ford,"$17,715 ",4450.0,15.43,31169.0,BEV,49217.0,YES
Canada,2018,Nissan,"$16,984 ",3097.0,11.68,77247.0,HEV,19675.0,no
India,2019,Tesla,"$25,180 ",703.0,22.9,103148.0,PHEV,4491.0,No
USA,2022,Chevrolet,"$28,588 ",899.0,7.22,35557.0,HEV,9981.0,No
Germany,2023,Tesla,"$4,157 ",4856.0,26.95,89888.0,PHEV,43340.0,no
China,2019,Ford,"$36,450 ",4797.0,6.24,115992.0,PHEV,5329.0,yes
Canada,2021,Renault,"$22,251 ",18.0,12.99,94873.0,BEV,56535.0,yes
India,2022,Renault,"$47,630 ",3041.0,6.93,134217.0,HEV,3246.0,yes
Canada,2018,Hyundai,"$20,510 ",4081.0,23.38,38744.0,PHEV,50451.0,Yes
USA,2021,BMW,"$10,169 ",1092.0,11.23,86262.0,PHEV,52952.0,YES
Canada,2017,Chevrolet,"$42,235 ",1462.0,24.16,111074.0,HEV,48931.0,no
Netherlands,2019,Chevrolet,"$40,425 ",1861.0,2.98,129170.0,PHEV,43287.0,YES
China,2022,Nissan,"$25,690 ",254.0,24.47,112417.0,HEV,69315.0,no
USA,2018,Ford,"$18,730 ",1250.0,4.86,113091.0,HEV,14698.0,Yes
Japan,2022,Ford,"$35,060 ",1744.0,2.89,92441.0,BEV,38956.0,yes
China,2016,Hyundai,"$49,286 ",3952.0,10.46,138064.0,PHEV,67480.0,YES
France,2021,Ford,"$32,195 ",1521.0,20.12,55697.0,HEV,51010.0,yes
UK,2023,Kia,"$25,305 ",2427.0,23.1,72794.0,PHEV,32949.0,yes
UK,2024,Ford,"$32,519 ",3155.0,8.77,35782.0,HEV,27913.0,yes
UK,2015,BYD,"$21,172 ",4394.0,19.39,95524.0,PHEV,41324.0,yes
Germany,2015,Volkswagen,"$49,493 ",3973.0,5.21,127662.0,BEV,24384.0,No
India,2015,Renault,"$4,012 ",905.0,23.71,84870.0,BEV,55800.0,Yes
USA,2022,Ford Inc,"$8,531 ",1809.0,3.29,43426.0,PHEV,41379.0,Yes
China,2023,Hyundai,"$28,105 ",2099.0,18.58,115584.0,PHEV,6008.0,Yes
Netherlands,2016,Hyundai,"$21,777 ",803.0,6.3,45030.0,PHEV,30202.0,yes
Netherlands,2015,Hyundai,"$29,736 ",1630.0,21.59,90999.0,BEV,75855.0,Yes
Norway,2021,Ford,"$34,372 ",4810.0,4.41,61809.0,HEV,8903.0,Yes
USA,2016,Renault,"$18,668 ",2297.0,21.25,69624.0,PHEV,75526.0,yes
Japan,2020,Ford,"$23,801 ",1816.0,9.73,94704.0,BEV,17204.0,yes
Germany,2018,BMW,"$8,310 ",3090.0,21.5,100854.0,BEV,10236.0,yes
Japan,2015,Renault,"$42,035 ",689.0,4.79,55055.0,PHEV,59473.0,YES
UK,2021,Renault,"$45,364 ",3203.0,12.85,84866.0,PHEV,16675.0,No
Netherlands,2022,Volkswagen,"$24,121 ",3604.0,28.33,107719.0,PHEV,71902.0,yes
Canada,2024,Nissan,"$26,965 ",1653.0,9.73,77951.0,HEV,44201.0,No
Germany,2018,Chevrolet,"$43,815 ",1678.0,10.32,117169.0,HEV,6028.0,no
Germany,2016,Nissan,"$8,998 ",541.0,4.73,63837.0,PHEV,24397.0,Yes
Canada,2023,BMW,"$8,204 ",68.0,6.34,18969.0,HEV,11002.0,yes
India,2020,BMW,"$34,209 ",4633.0,29.03,45175.0,HEV,35189.0,No
Netherlands,2016,Hyundai,"$6,265 ",445.0,2.11,85448.0,PHEV,5959.0,Yes
india,2020,BYD,"$27,757 ",1660.0,16.95,55972.0,HEV,56046.0,YES
USA,2019,BYD,"$37,157 ",4491.0,29.39,74283.0,PHEV,17772.0,no
Canada,2022,Tesla,"$49,086 ",2801.0,14.03,72304.0,HEV,58205.0,Yes
China,2023,Ford,"$5,459 ",1069.0,24.61,7760.0,HEV,59017.0,yes
China,2016,Volkswagen,"$43,819 ",4309.0,4.14,48931.0,PHEV,58033.0,No
France,2018,BYD,"$46,031 ",3592.0,29.12,129449.0,BEV,33145.0,yes
UK,2016,Kia,"$35,896 ",1886.0,8.18,92812.0,HEV,2067.0,Yes
Germany,2016,Tesla,"$34,439 ",181.0,22.92,44774.0,PHEV,56008.0,Yes
Germany,2017,Nissan,"$33,425 ",2727.0,25.44,45520.0,HEV,57680.0,Yes
China,2023,Ford,"$28,900 ",2387.0,7.26,97246.0,HEV,29562.0,no
Norway,2016,Nissan,"$41,163 ",2136.0,18.07,94345.0,HEV,27883.0,YES
Japan,2017,Tesla,"$38,873 ",3086.0,5.65,50967.0,PHEV,3407.0,yes
Canada,2016,Renault,"$13,144 ",3014.0,7.67,74890.0,HEV,53748.0,YES
USA,2018,BYD,"$37,307 ",1314.0,26.81,68468.0,PHEV,8282.0,Yes
Norway,2018,Kia,"$27,039 ",3317.0,4.09,62594.0,HEV,2073.0,No
Netherlands,2020,BMW,"$33,183 ",1175.0,14.49,61476.0,BEV,16389.0,No
Norway,2019,BMW,"$17,543 ",4652.0,27.77,98511.0,BEV,60618.0,no
Canada,2023,Ford,"$37,734 ",1478.0,1.93,64461.0,BEV,23559.0,Yes
Germany,2015,BMW,"$8,784 ",2576.0,2.63,72467.0,BEV,11991.0,No
UK,2021,Renault,"$28,606 ",2656.0,10.28,99926.0,BEV,55913.0,yes
France,2017,Hyundai,"$18,450 ",2405.0,8.56,65753.0,PHEV,25667.0,no
UK,2021,Chevrolet,"$4,492 ",340.0,28.43,93172.0,HEV,26530.0,Yes
USA,2019,Nissan,"$45,240 ",2611.0,17.15,133507.0,HEV,53044.0,YES
India,2018,Volkswagen,"$38,002 ",1607.0,11.99,70009.0,BEV,13985.0,YES
Norway,2024,BYD,"$23,025 ",2752.0,21.93,27855.0,PHEV,57144.0,No
Japan,2019,Tesla,"$1,033 ",4572.0,5.6,57748.0,HEV,29255.0,No
France,2020,Nissan,"$20,945 ",3176.0,7.2,31420.0,HEV,64130.0,Yes
Netherlands,2024,Ford,"$26,508 ",3150.0,24.24,97766.0,PHEV,28912.0,yes
Norway,2023,Volkswagen,"$17,666 ",1517.0,18.3,57289.0,PHEV,64303.0,YES
India,2015,Volkswagen,"$46,562 ",3864.0,16.02,51652.0,BEV,46266.0,Yes
Japan,2018,Hyundai,"$46,045 ",2696.0,7.45,121615.0,PHEV,75062.0,no
Canada,2023,Volkswagen,"$19,084 ",4724.0,15.87,116169.0,PHEV,72857.0,yes
Netherlands,2018,Chevrolet,"$24,940 ",496.0,26.37,49738.0,PHEV,14565.0,No
India,2015,Renault,"$23,527 ",550.0,28.01,114392.0,BEV,57878.0,Yes
Netherlands,2024,Nissan,"$45,706 ",1248.0,2.22,100325.0,BEV,27875.0,No
Netherlands,2019,Nissan,"$17,964 ",207.0,21.5,26815.0,HEV,2600.0,no
France,2021,BYD,"$7,366 ",3702.0,13.12,28739.0,PHEV,63805.0,yes
Norway,2024,Hyundai,"$47,377 ",1781.0,23.48,145826.0,PHEV,40423.0,no
UK,2017,Renault,"$44,383 ",330.0,23.41,130534.0,PHEV,40776.0,yes
UK,2020,Hyundai,"$49,312 ",1510.0,16.64,102745.0,BEV,10711.0,Yes
Germany,2022,Kia,"$22,484 ",14.0,11.8,42266.0,PHEV,52782.0,No
Japan,2018,Volkswagen,"$7,108 ",357.0,25.98,80144.0,HEV,36342.0,Yes
UK,2024,Kia Inc,"$49,800 ",512.0,15.77,117636.0,PHEV,28075.0,Yes
Netherlands,2023,Nissan,"$24,479 ",4043.0,2.32,81301.0,BEV,52603.0,no
Japan,2022,Nissan,"$37,653 ",348.0,8.94,64922.0,BEV,51138.0,Yes
Canada,2024,BMW,"$32,122 ",1906.0,22.3,79343.0,PHEV,18197.0,Yes
Norway,2024,Ford,"$21,634 ",792.0,10.12,120413.0,HEV,25583.0,Yes
UK,2024,BMW,"$14,147 ",2948.0,7.08,23310.0,HEV,55210.0,Yes
Japan,2021,BMW,"$40,863 ",4930.0,16.34,124774.0,HEV,38996.0,Yes
UK,2022,BMW,"$12,248 ",3969.0,22.64,76427.0,BEV,7450.0,YES
UK,2019,BYD,"$1,599 ",2647.0,25.69,87932.0,HEV,41225.0,No
Germany,2019,Ford,"$11,307 ",1364.0,10.4,75472.0,BEV,9382.0,YES
Japan,2020,Kia,"$20,434 ",4929.0,11.57,82611.0,HEV,38851.0,No
Germany,2022,Nissan,"$9,316 ",4135.0,23.37,74224.0,PHEV,26654.0,Yes
USA,2023,Hyundai,"$22,108 ",1205.0,1.41,92002.0,PHEV,42576.0,No
UK,2021,Tesla,"$37,512 ",3353.0,18.68,55067.0,BEV,54294.0,no
Netherlands,2023,Hyundai,"$32,144 ",763.0,20.22,103784.0,PHEV,28299.0,no
USA,2019,Ford,"$25,161 ",1687.0,2.79,50437.0,BEV,49239.0,no
Norway,2019,Hyundai,"$23,521 ",1267.0,18.2,26053.0,HEV,51805.0,yes
Canada,2020,Nissan,"$16,515 ",4998.0,6.07,92157.0,HEV,35206.0,no
Netherlands,2017,BYD,"$48,087 ",1470.0,17.5,136984.0,HEV,36847.0,YES
India,2023,BMW,"$15,914 ",2503.0,5.45,105281.0,PHEV,42091.0,yes
UK,2021,Tesla,"$8,088 ",913.0,4.72,67653.0,PHEV,56342.0,no
Norway,2022,Kia,"$43,223 ",2814.0,10.49,143216.0,PHEV,38550.0,yes
Canada,2023,Renault,"$20,665 ",612.0,8.43,109053.0,BEV,71043.0,YES
Netherlands,2017,Ford,"$1,027 ",4415.0,5.1,52540.0,HEV,67198.0,Yes
France,2024,Nissan,"$46,728 ",945.0,28.02,53106.0,BEV,66296.0,yes
India,2023,Chevrolet,"$14,000 ",315.0,3.96,66542.0,PHEV,66285.0,YES
India,2018,Kia,"$7,722 ",1475.0,21.38,107428.0,HEV,79437.0,Yes
France,2018,Chevrolet,"$5,044 ",752.0,25.21,57544.0,HEV,40618.0,Yes
Germany,2020,Kia,"$34,018 ",878.0,16.34,91604.0,BEV,25789.0,no
Netherlands,2019,Renault,"$2,117 ",2540.0,1.56,66737.0,PHEV,1511.0,YES
Norway,2016,Renault,"$47,814 ",262.0,10.2,123170.0,HEV,37244.0,Yes
Germany,2022,BYD,"$9,678 ",1735.0,11.05,45147.0,HEV,9496.0,No
UK,2017,BMW,"$28,530 ",1034.0,11.61,38228.0,HEV,71392.0,no
Netherlands,2018,Hyundai,"$28,027 ",1063.0,8.92,71891.0,BEV,38355.0,YES
France,2017,Chevrolet Inc,"$6,765 ",4249.0,17.34,90443.0,BEV,54494.0,No
Japan,2022,Nissan,"$14,806 ",4039.0,3.0,59632.0,PHEV,56597.0,yes
Norway,2019,Chevrolet,"$7,943 ",1327.0,19.38,13326.0,BEV,35361.0,yes
Germany,2019,Renault,"$44,597 ",1918.0,22.19,75955.0,PHEV,31412.0,YES
China,2024,BYD,"$18,674 ",2938.0,9.95,51983.0,BEV,10280.0,no
India,2017,BYD,"$40,949 ",2391.0,6.73,135006.0,HEV,22695.0,no
Germany,2024,Kia,"$1,487 ",1975.0,2.97,28502.0,HEV,67404.0,Yes
UK,2018,Volkswagen,"$15,669 ",1402.0,17.79,42113.0,PHEV,63497.0,yes
India,2021,Hyundai,"$44,609 ",311.0,24.97,84632.0,HEV,60267.0,Yes
France,2020,BYD,"$25,392 ",1898.0,5.78,121289.0,PHEV,60225.0,YES
Japan,2021,Ford,"$16,507 ",3908.0,18.12,107549.0,HEV,21239.0,no
France,2018,Renault,"$13,565 ",4465.0,15.79,113396.0,HEV,19443.0,No
Germany,2017,Hyundai,"$9,790 ",221.0,15.31,54080.0,BEV,16115.0,No
